number,date,title,tags,file,original_file
001,2026-04-24,把他妈妈气哭,关系重建,scripts/001-2026-04-24-把他妈妈气哭.md,001-把他妈妈气哭0424.txt
002,2026-04-25,孩子顶嘴怎么办,顶嘴/表达、关系重建,scripts/002-2026-04-25-孩子顶嘴怎么办.md,002孩子顶嘴怎么办0425.txt
003,2026-04-26,孩子打了110,冲突升级、关系重建,scripts/003-2026-04-26-孩子打了.md,003孩子打了110 0426.txt
004,2026-04-27,母女绝交,为你好、成年疏离、关系重建,scripts/004-2026-04-27-母女绝交.md,004母女绝交0427.txt
005,2026-04-28,为什么懂了道理还是没变,家庭会议、关系重建,scripts/005-2026-04-28-为什么懂了道理还是没变.md,005为什么懂了道理还是没变0428.txt
006,2026-04-29,要改变的不是孩子是关系,顶嘴/表达、关系重建,scripts/006-2026-04-29-要改变的不是孩子是关系.md,006要改变的不是孩子是关系0429.txt
007,2026-04-30,家庭会议怎么开,家庭会议、规则、游戏/手机、关系重建,scripts/007-2026-04-30-家庭会议怎么开.md,007家庭会议怎么开430-.txt
008,2026-05-01,父母自己不守规则怎么办,规则、成年疏离、关系重建,scripts/008-2026-05-01-父母自己不守规则怎么办.md,008父母自己不守规则怎么办-0501.txt
009,2026-05-02,孩子玩游戏管不了怎么办,家庭会议、规则、游戏/手机、实践教育、关系重建,scripts/009-2026-05-02-孩子玩游戏管不了怎么办.md,009孩子玩游戏管不了怎么办0502.txt
010,2026-05-03,孩子的底层能力是什么,能力建设、实践教育、关系重建,scripts/010-2026-05-03-孩子的底层能力是什么.md,010孩子的底层能力是什么0503.txt
011,2026-05-04,孩子的实践-街头访谈,实践教育,scripts/011-2026-05-04-孩子的实践-街头访谈.md,011孩子的实践-街头访谈0504.txt
012,2026-05-06,你真的会爱孩子吗,规则、边界感、顶嘴/表达、关系重建、爱与伤害,scripts/012-2026-05-06-你真的会爱孩子吗.md,012你真的会爱孩子吗0506.txt
013,2026-05-07,一个方法解决90的问题,家庭会议、规则、关系重建,scripts/013-2026-05-07-一个方法解决90的问题.md,013一个方法解决90的问题0507.txt
014,2026-05-07,你是在管孩子还是制造问题,规则、顶嘴/表达、关系重建,scripts/014-2026-05-07-你是在管孩子还是制造问题.md,014你是在管孩子还是制造问题0507.txt
015,2026-05-08,开家庭会议孩子不配合怎么办,家庭会议、规则、顶嘴/表达、关系重建,scripts/015-2026-05-08-开家庭会议孩子不配合怎么办.md,015开家庭会议孩子不配合怎么办0508.txt
016,2026-05-09,为什么听话的孩子最危险,边界感、为你好、顶嘴/表达、爱与伤害,scripts/016-2026-05-09-为什么听话的孩子最危险.md,016a 为什么听话的孩子最危险0509.txt
017,2026-05-09,家庭会议怎么开,家庭会议、规则、顶嘴/表达、关系重建,scripts/017-2026-05-09-家庭会议怎么开.md,016家庭会议怎么开0509.txt
018,2026-05-10,你需要一个向导,关系重建,scripts/018-2026-05-10-你需要一个向导.md,017你需要一个向导0510.txt
019,2026-05-11,为你好最恶心的一句话,边界感、为你好、爱与伤害,scripts/019-2026-05-11-为你好最恶心的一句话.md,018为你好最恶心的一句话0511.txt
020,2026-05-11,很多父母根本不知道边界感,边界感、爱与伤害、孩子不是财产,scripts/020-2026-05-11-很多父母根本不知道边界感.md,019很多父母根本不知道边界感0511.txt
021,2026-05-12,孝顺,为你好、孝/孝顺、爱与伤害,scripts/021-2026-05-12-孝顺.md,020孝顺0512.txt
022,2026-05-12,感恩,感恩教育、关系重建、爱与伤害、孩子不是财产,scripts/022-2026-05-12-感恩.md,021感恩0512.txt
023,2026-05-13,孩子跳楼的悲剧,边界感、家庭暴力、极端悲剧、爱与伤害,scripts/023-2026-05-13-孩子跳楼的悲剧.md,022孩子跳楼的悲剧0513.txt
024,2026-05-13,孩子进了少管所,边界感、溺爱、青少年失控/犯罪、游戏/手机、关系重建、爱与伤害,scripts/024-2026-05-13-孩子进了少管所.md,023孩子进了少管所0513.txt
025,2026-05-14,棍棒底下出孝子,孝/孝顺、家庭暴力、成年疏离、爱与伤害,scripts/025-2026-05-14-棍棒底下出孝子.md,024棍棒底下出孝子0514.txt
026,2026-05-14,溺爱把孩子送进了少管所,规则、边界感、溺爱、青少年失控/犯罪、游戏/手机、道歉/修复,scripts/026-2026-05-14-溺爱把孩子送进了少管所.md,025溺爱把孩子送进了少管所0514.txt
027,2026-05-15,成年了如何与父母相处,边界感、为你好、孝/孝顺、成年疏离、关系重建、爱与伤害,scripts/027-2026-05-15-成年了如何与父母相处.md,026成年了如何与父母相处0515.txt
028,2026-05-15,什么是孝,边界感、为你好、孝/孝顺、爱与伤害,scripts/028-2026-05-15-什么是孝.md,027什么是孝0515.txt
